x_nm,energy_J,energy_eV,energy_level,source_file,case_label
10.832382849144585,5.299997169272407e-19,3.3079980426630087,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
10.832382849144585,5.299811541887758e-19,3.3078821831624325,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
11.356328156409642,5.299811541887758e-19,3.3078821831624325,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
11.356328156409642,5.29960501412636e-19,3.3077532786727435,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
11.8802734636747,5.29960501412636e-19,3.3077532786727435,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
11.8802734636747,5.29937517138598e-19,3.3076098221177657,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
12.404218770939758,5.29937517138598e-19,3.3076098221177657,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
12.404218770939758,5.299119337149434e-19,3.3074501429468697,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
12.92816407820482,5.299119337149434e-19,3.3074501429468697,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
12.92816407820482,5.298834545392049e-19,3.3072723899130647,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
13.452109385469877,5.298834545392049e-19,3.3072723899130647,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
13.452109385469877,5.298517510603861e-19,3.3070745123623255,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
13.976054692734936,5.298517510603861e-19,3.3070745123623255,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
13.976054692734936,5.298164595316324e-19,3.3068542399653573,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
14.499999999999996,5.298164595316324e-19,3.3068542399653573,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
14.499999999999996,5.29777177504718e-19,3.306609060837908,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
15.02394530726505,5.29777177504718e-19,3.306609060837908,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
15.02394530726505,5.297334600610178e-19,3.306336198016341,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
15.54789061453011,5.297334600610178e-19,3.306336198016341,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
15.54789061453011,5.296848157780792e-19,3.306032584282959,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
16.07183592179517,5.296848157780792e-19,3.306032584282959,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
