x_nm,Dtrap_1000h,Nt_eff_cm3_1000h,case_label
55.63425118034667,0.6772412847385268,3.3928202172689414e+17,"1.00 sun, 400 K"
56.1338684333309,0.6709293089129059,3.361291898019965e+17,"1.00 sun, 400 K"
56.1338684333309,0.6709293089129059,3.361291898019965e+17,"1.00 sun, 400 K"
56.64014354558578,0.6645909522641026,3.329631806559192e+17,"1.00 sun, 400 K"
56.64014354558578,0.6645909522641026,3.329631806559192e+17,"1.00 sun, 400 K"
57.153165239207645,0.6582287333201894,3.2978525229343456e+17,"1.00 sun, 400 K"
57.153165239207645,0.6582287333201894,3.2978525229343456e+17,"1.00 sun, 400 K"
57.6730234185964,0.6518451718972783,3.265966633626905e+17,"1.00 sun, 400 K"
57.6730234185964,0.6518451718972783,3.265966633626905e+17,"1.00 sun, 400 K"
58.19662581106845,0.6454812770943853,3.234178979086454e+17,"1.00 sun, 400 K"
58.19662581106845,0.6454812770943853,3.234178979086454e+17,"1.00 sun, 400 K"
58.72023304493789,0.6391841572814657,3.202724865620921e+17,"1.00 sun, 400 K"
58.72023304493789,0.6391841572814657,3.202724865620921e+17,"1.00 sun, 400 K"
59.24384027880734,0.6329546844789987,3.171608648972598e+17,"1.00 sun, 400 K"
59.24384027880734,0.6329546844789987,3.171608648972598e+17,"1.00 sun, 400 K"
59.76744751267678,0.6267935416647327,3.1408337406153395e+17,"1.00 sun, 400 K"
59.76744751267678,0.6267935416647327,3.1408337406153395e+17,"1.00 sun, 400 K"
60.29105474654622,0.6207012912424301,3.110402949755938e+17,"1.00 sun, 400 K"
60.29105474654622,0.6207012912424301,3.110402949755938e+17,"1.00 sun, 400 K"
60.814661980415664,0.6146783838578773,3.080318527370097e+17,"1.00 sun, 400 K"
60.814661980415664,0.6146783838578773,3.080318527370097e+17,"1.00 sun, 400 K"
61.3382692142851,0.608725166655216,3.050582207442803e+17,"1.00 sun, 400 K"
61.3382692142851,0.608725166655216,3.050582207442803e+17,"1.00 sun, 400 K"
61.86187644815456,0.602841890989059,3.02119524549035e+17,"1.00 sun, 400 K"
61.86187644815456,0.602841890989059,3.02119524549035e+17,"1.00 sun, 400 K"
62.385483682024,0.5970287196202779,2.9921584545032877e+17,"1.00 sun, 400 K"
62.385483682024,0.5970287196202779,2.9921584545032877e+17,"1.00 sun, 400 K"
62.90909091589344,0.5912857334273357,2.963472238469541e+17,"1.00 sun, 400 K"
62.90909091589344,0.5912857334273357,2.963472238469541e+17,"1.00 sun, 400 K"
63.43269814976289,0.5856129376648213,2.935136623635781e+17,"1.00 sun, 400 K"
63.43269814976289,0.5856129376648213,2.935136623635781e+17,"1.00 sun, 400 K"
63.95630538363233,0.5800102677988301,2.9071512876551565e+17,"1.00 sun, 400 K"
63.95630538363233,0.5800102677988301,2.9071512876551565e+17,"1.00 sun, 400 K"
64.47991261750175,0.5744775949476228,2.879515586763376e+17,"1.00 sun, 400 K"
64.47991261750175,0.5744775949476228,2.879515586763376e+17,"1.00 sun, 400 K"
65.00351985137122,0.5690147309546295,2.8522285811183747e+17,"1.00 sun, 400 K"
65.00351985137122,0.5690147309546295,2.8522285811183747e+17,"1.00 sun, 400 K"
65.52712708524066,0.563621433119591,2.8252890584323568e+17,"1.00 sun, 400 K"
65.52712708524066,0.563621433119591,2.8252890584323568e+17,"1.00 sun, 400 K"
66.0507343191101,0.5582974086122452,2.7986955560181648e+17,"1.00 sun, 400 K"
66.0507343191101,0.5582974086122452,2.7986955560181648e+17,"1.00 sun, 400 K"
66.57434155297953,0.5530423185921498,2.7724463813677875e+17,"1.00 sun, 400 K"
66.57434155297953,0.5530423185921498,2.7724463813677875e+17,"1.00 sun, 400 K"
67.097948786849,0.5478557820563476,2.7465396313714557e+17,"1.00 sun, 400 K"
67.097948786849,0.5478557820563476,2.7465396313714557e+17,"1.00 sun, 400 K"
67.62155602071844,0.5427373794345457,2.7209732102755552e+17,"1.00 sun, 400 K"
67.62155602071844,0.5427373794345457,2.7209732102755552e+17,"1.00 sun, 400 K"
68.14516325458789,0.5376866559514917,2.6957448464777002e+17,"1.00 sun, 400 K"
68.14516325458789,0.5376866559514917,2.6957448464777002e+17,"1.00 sun, 400 K"
