% Model,PSC_Degradation_CsFa_Ions_Degradation_v2.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 11:16"
% Dimension,1
% Nodes,2186
% Expressions,4
% Description,"Conduction band energy level, Valence band energy level, Electron quasi-Fermi energy level, Hole quasi-Fermi energy level"
% x,semi.Ec_e (J),semi.Ev_e (J),semi.Efn_e (J),semi.Efp_e (J)
32.273957501076154,2.45934610646165E-19,-4.004944257835004E-21,-1.1949088115146721E-30,1.2359417783891837E-30
32.55835371478407,2.45934610646165E-19,-4.004944257835004E-21,-1.1949088115146721E-30,1.2359417783891837E-30
32.55835371478407,2.456011099670018E-19,-4.3384449369981714E-21,-1.1773701059032415E-30,1.2047743334211019E-30
32.82910171590633,2.456011099670018E-19,-4.3384449369981714E-21,-1.1773701059032415E-30,1.2047743334211019E-30
32.82910171590633,2.4529342559589595E-19,-4.64612930810404E-21,-1.1602227304372991E-30,1.1812522788238244E-30
33.08685560797799,2.4529342559589595E-19,-4.64612930810404E-21,-1.1602227304372991E-30,1.1812522788238244E-30
33.08685560797799,2.4500881810571746E-19,-4.930736798282524E-21,-1.14357341152016E-30,1.155258840949784E-30
33.332239582613695,2.4500881810571746E-19,-4.930736798282524E-21,-1.14357341152016E-30,1.155258840949784E-30
33.332239582613695,2.4474494311724783E-19,-5.1946117867521725E-21,-1.1276356019584542E-30,1.1343460245668845E-30
33.565849576064366,2.4474494311724783E-19,-5.1946117867521725E-21,-1.1276356019584542E-30,1.1343460245668845E-30
33.565849576064366,2.4449977265840017E-19,-5.439782245599823E-21,-1.1125516036232684E-30,1.1157456135891433E-30
33.78825491807533,2.4449977265840017E-19,-5.439782245599823E-21,-1.1125516036232684E-30,1.1157456135891433E-30
33.78825491807533,2.4427154537559774E-19,-5.668009528402229E-21,-1.098179114643516E-30,1.0983803383830995E-30
33.99999999999999,2.4427154537559774E-19,-5.668009528402229E-21,-1.098179114643516E-30,1.0983803383830995E-30
33.99999999999999,2.4405371886596195E-19,-5.8858360380380304E-21,-1.0842691067447951E-30,1.0826637637615988E-30
34.21132096432748,2.4405371886596195E-19,-5.8858360380380304E-21,-1.0842691067447951E-30,1.0826637637615988E-30
34.21132096432748,2.438390316893262E-19,-6.100523214673788E-21,-1.0704658252493892E-30,1.065518611762392E-30
34.42545797480434,2.438390316893262E-19,-6.100523214673788E-21,-1.0704658252493892E-30,1.065518611762392E-30
34.42545797480434,2.436257588203624E-19,-6.3137960836376E-21,-1.0565558173506684E-30,1.0496786347370585E-30
34.64244855783472,2.436257588203624E-19,-6.3137960836376E-21,-1.0565558173506684E-30,1.0496786347370585E-30
34.64244855783472,2.4341382687149194E-19,-6.5257280325080465E-21,-1.0427169603874908E-30,1.0339398254482005E-30
34.86233073989665,2.4341382687149194E-19,-6.5257280325080465E-21,-1.0427169603874908E-30,1.0339398254482005E-30
34.86233073989665,2.432031647097808E-19,-6.736390194219199E-21,-1.0289492543598565E-30,1.020560114365951E-30
35.0851430542059,2.432031647097808E-19,-6.736390194219199E-21,-1.0289492543598565E-30,1.020560114365951E-30
35.0851430542059,2.4299370170547373E-19,-6.945853198526283E-21,-1.015110397396679E-30,1.0053760600276573E-30
35.31092454746879,2.4299370170547373E-19,-6.945853198526283E-21,-1.015110397396679E-30,1.0053760600276573E-30
35.31092454746879,2.4278536860793364E-19,-7.154186296066364E-21,-1.001413842304588E-30,9.899663238156872E-31
35.539714786724886,2.4278536860793364E-19,-7.154186296066364E-21,-1.001413842304588E-30,9.899663238156872E-31
35.539714786724886,2.4257809805023537E-19,-7.361456853764605E-21,-9.878595890835839E-31,9.75148029755421E-31
35.77155386628096,2.4257809805023537E-19,-7.361456853764605E-21,-9.878595890835839E-31,9.75148029755421E-31
35.77155386628096,2.4237182441504736E-19,-7.567730488952621E-21,-9.744120622658946E-31,9.632558179193742E-31
36.006482414737285,2.4237182441504736E-19,-7.567730488952621E-21,-9.744120622658946E-31,9.632558179193742E-31
36.006482414737285,2.421664823863902E-19,-7.77307251760979E-21,-9.611068373192921E-31,9.489900553429366E-31
36.24454160210755,2.421664823863902E-19,-7.77307251760979E-21,-9.611068373192921E-31,9.489900553429366E-31
36.24454160210755,2.419620078045545E-19,-7.977547099445478E-21,-9.478727633082328E-31,9.349933322415224E-31
36.48577314703378,2.419620078045545E-19,-7.977547099445478E-21,-9.478727633082328E-31,9.349933322415224E-31
36.48577314703378,2.4175833795623E-19,-8.181216947769996E-21,-9.34816566636032E-31,9.210677600756513E-31
36.73021932409724,2.4175833795623E-19,-8.181216947769996E-21,-9.34816566636032E-31,9.210677600756513E-31
36.73021932409724,2.415554114666875E-19,-8.384143437312467E-21,-9.21973822770461E-31,9.10265046940112E-31
36.977922971226846,2.415554114666875E-19,-8.384143437312467E-21,-9.21973822770461E-31,9.10265046940112E-31
36.977922971226846,2.4135316720793945E-19,-8.586387696060527E-21,-9.092378053082051E-31,8.970676601301922E-31
37.22892749720634,2.4135316720793945E-19,-8.586387696060527E-21,-9.092378053082051E-31,8.970676601301922E-31
37.22892749720634,2.411515448939259E-19,-8.788010010074079E-21,-8.967508161203507E-31,8.840525975926023E-31
37.483276889281406,2.411515448939259E-19,-8.788010010074079E-21,-8.967508161203507E-31,8.840525975926023E-31
37.483276889281406,2.4095048532794906E-19,-8.989069576050928E-21,-8.844772797391264E-31,8.712543230617459E-31
37.741015720868184,2.4095048532794906E-19,-8.989069576050928E-21,-8.844772797391264E-31,8.712543230617459E-31
37.741015720868184,2.4074993031533585E-19,-9.18962458866414E-21,-8.723816206967605E-31,8.61282074752001E-31
38.00218915936461,2.4074993031533585E-19,-9.18962458866414E-21,-8.723816206967605E-31,8.61282074752001E-31
38.00218915936461,2.405498219003809E-19,-9.389733003619101E-21,-8.605349899287962E-31,8.490474490386521E-31
38.266842974065746,2.405498219003809E-19,-9.389733003619101E-21,-8.605349899287962E-31,8.490474490386521E-31
38.266842974065746,2.403501026548669E-19,-9.58945224913307E-21,-8.489373874352335E-31,8.370018179978399E-31
