% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 12:22"
% Table,Table 12 - Global Evaluation 2
% light_on,use_scan,Time (s),Average terminal current density (mA/cm^2)
0,0,0.0050999999999999995,-1.1277305304859976E-4
0,0,0.0052,-1.1270719266626463E-4
0,0,0.005299999999999999,-1.1244583368215838E-4
0,0,0.005399999999999999,-1.1225796075712949E-4
0,0,0.0055,-1.1203334578599011E-4
0,0,0.005599999999999999,-1.1179971684835775E-4
0,0,0.005699999999999999,-1.1157232852348441E-4
0,0,0.0058,-1.1136851084415733E-4
0,0,0.0059,-1.1120212741279417E-4
0,0,0.005999999999999999,-1.1095186101152419E-4
0,0,0.0060999999999999995,-1.1076190942230419E-4
0,0,0.0062,-1.1050540311530943E-4
0,0,0.006299999999999999,-1.1032307575556792E-4
0,0,0.0063999999999999994,-1.1008875517526753E-4
0,0,0.0065,-1.0994108940256181E-4
0,0,0.006599999999999999,-1.0961733782409227E-4
0,0,0.006699999999999999,-1.0938371001242566E-4
0,0,0.0068,-1.0924505772412785E-4
0,0,0.006899999999999999,-1.089344776812736E-4
0,0,0.006999999999999999,-1.0871402312906992E-4
0,0,0.0070999999999999995,-1.0845682414993102E-4
0,0,0.0072,-1.0829113423694633E-4
0,0,0.007299999999999999,-1.0807830365576865E-4
0,0,0.0073999999999999995,-1.0782387695067932E-4
0,0,0.0075,-1.0766096191701473E-4
0,0,0.007599999999999999,-1.0745090392843035E-4
0,0,0.007699999999999999,-1.0719231912956174E-4
0,0,0.0078,-1.068796594291835E-4
0,0,0.007899999999999999,-1.0676388618029998E-4
0,0,0.008,-1.0657809024288196E-4
0,0,0.0081,-1.0620095925984836E-4
0,0,0.008199999999999999,-1.0602209893160876E-4
0,0,0.0083,-1.0590077722142276E-4
0,0,0.0084,-1.0557286787051058E-4
0,0,0.008499999999999999,-1.0543213413127617E-4
0,0,0.0086,-1.0521167829846207E-4
0,0,0.0087,-1.0503697674557676E-4
0,0,0.008799999999999999,-1.0477492497728202E-4
0,0,0.0089,-1.045510031714925E-4
0,0,0.009,-1.0435827741042267E-4
0,0,0.009099999999999999,-1.040657227335975E-4
0,0,0.0092,-1.037960455280733E-4
0,0,0.0093,-1.0368096392807536E-4
0,0,0.009399999999999999,-1.0344941461677958E-4
0,0,0.0095,-1.0319152517884403E-4
0,0,0.0096,-1.0307505577697866E-4
0,0,0.009699999999999999,-1.0282478928001708E-4
0,0,0.0098,-1.0270624160879623E-4
0,0,0.009899999999999999,-1.0244626895001225E-4
0,0,0.009999999999999998,-1.021758999030226E-4
0,0,0.0101,-1.0202268915528211E-4
0,0,0.010199999999999999,-1.0184798755710216E-4
0,0,0.010299999999999998,-1.0163862297779845E-4
0,0,0.0104,-1.0139390410153896E-4
0,0,0.010499999999999999,-1.0124415852940673E-4
0,0,0.010599999999999998,-1.0105489969418605E-4
0,0,0.0107,-1.0082543026572356E-4
0,0,0.010799999999999999,-1.005495141362612E-4
0,0,0.010899999999999998,-1.0048712076558095E-4
0,0,0.011,11.960430750383594
0,0,0.011099999999999999,0.0015537854927784403
0,0,0.011199999999999998,0.001427190026849962
0,0,0.0113,0.0013102267028049506
0,0,0.011399999999999999,0.0012017398704221604
0,0,0.0115,0.001101626213653886
0,0,0.0116,0.0010091439646424088
0,0,0.011699999999999999,9.241489112737419E-4
0,0,0.0118,8.458646258156013E-4
0,0,0.011899999999999999,7.742453251519191E-4
0,0,0.011999999999999999,7.086677857476083E-4
0,0,0.0121,6.490349486897289E-4
0,0,0.012199999999999999,5.945842295288065E-4
0,0,0.012299999999999998,5.449565190525421E-4
0,0,0.0124,5.000977427670025E-4
0,0,0.012499999999999999,4.591579653234766E-4
0,0,0.012599999999999998,4.2215036027134763E-4
0,0,0.0127,3.8861321118267E-4
0,0,0.012799999999999999,3.582595118838413E-4
0,0,0.012899999999999998,3.3071836941418243E-4
0,0,0.013,3.0570485340495566E-4
0,0,0.013099999999999999,2.83042875541424E-4
0,0,0.013199999999999998,2.6252514768194935E-4
0,0,0.0133,2.4381544587514497E-4
0,0,0.013399999999999999,2.2685136917852838E-4
